id,tweet_text,time_will_tell,distrust_experts,too_fast_early_dev,natural_traditional_is_better,liberty_freedom,hidden_motives,scapegoat,defend_the_weak,wicked_fairness,none,source
0,Andrew Giuliani says that the state needs to be held responsible for any employee who was coerced to get the vaccine and had adverse effects.,0,0,0,0,0,0,0,0,0,1,vaccine
1,"Keith Muise, a 41-year-old man in Newfoundland, says it's absurd he can't access a fourth dose of a COVID-19 vaccine despite the emergence of new ...Calls mount in N.L. for access to 4th COVID-19 shots | CBC News",0,0,0,0,0,0,0,0,0,1,vaccine
2,"NGO, Global Citizen provided World with material evidence to indict Germany & the WHO (UN) for crimes against humanity. Germany & the WHO's COVID-19 biological attack was waged to obtain $billions 'to urge (force) world leaders to invest in vaccines.",0,0,0,0,0,0,0,0,0,1,vaccine
3,"To go after Special Olympians, who all they wanted to do was compete, was not consistent with Florida law,' DeSantis said of a Special Olympics vaccine rule. DeSantis being Special Olympics co-chair didn't stop threat of $27.5M fine",0,0,0,0,0,0,0,1,0,0,vaccine
4,"These are the same people trying to force you to get a vaccine to be a member of society last year. Once again, I will never support them regardless of what my own beliefs are in regards to abortion.",0,0,0,0,1,0,0,0,0,0,vaccine
5,"Coronavirus vaccines may not prevent many symptoms of long covid, study suggests - The Washington Post",0,0,0,0,0,0,0,0,0,1,vaccine
6,You bigot. Isn't this exactly what you did with the vaccines? Literally. Exact. Same. Thing...,0,0,0,0,0,0,0,0,0,1,vaccine
7,"Nmo?????? Covid-19 vaccines prevented over 42 lakh Covid-19 deaths in India in 2021, says Lancet study via NaMo App",0,0,0,0,0,0,0,0,0,1,vaccine
8,"He's correct, the left destroyed, 'My body my choice' with vaccine mandates. Roe vs. Wade Overturned! Texas Moves To Make It Illegal & Eric Adams Bul... via",0,0,0,0,1,0,0,0,0,0,vaccine
9,NYC's monkeypox vaccine rollout halted by low supply,0,0,0,0,0,0,0,0,0,1,vaccine
10,New study indicates natural immunity offers greater protection from COVID-19 than vaccines,0,0,0,1,0,0,0,0,0,0,vaccine
11,"I thought for a moment this couldn't possibly be real - but, there it is. The anti-vaccine movement is gaslighting the population by suggesting wide teaching CPR and widespread availability of AEDs is somehow linked to the dangers of vaccinations.",0,0,0,0,0,0,0,0,0,1,vaccine
12,Study evaluates effectiveness of lower doses of vaccine to boost Covid-19 - GAZ,0,0,0,0,0,0,0,0,0,1,vaccine
13,"Watch GPs, pharmacies expect 'significant surge' for free flu vaccine for children - Latest News",0,0,0,0,0,0,0,0,0,1,vaccine
14,I'd rather dismember the vaccines than dismembers babies,0,0,0,0,0,0,0,1,0,0,vaccine
15,I don't think he's against the vaccines that are actually vaccines and actually work. What happened with this list? ??,0,0,0,0,0,0,0,0,0,1,vaccine
16,"Pfizer, BioNTech Say Updated COVID-19 Vaccine Boosts Protection Against Omicron Variant",0,0,0,0,0,0,0,0,0,1,vaccine
17,"Hackers Crack Pfizer, Moderna & Pfizer Servers! All Vaccine Death Data Now Public From All Companies Thanks to Hackers! - best news here",0,0,0,0,0,0,0,0,0,1,vaccine
18,"We needed newer vaccines out yesterday. MASK VACINATE Selects for faster & more contagious. Evolution 101. No herd immunity. Less severe will ONLY BE selected for, IF few hosts, i.e, killed off 85% to 95% humans plus deer, cats, etc. SARS-2 avoids & damages immune system. MASK",0,0,0,0,0,0,0,0,0,1,vaccine
19,I love how the left is babbling about womens rights after forcing an experimental vaccine on everyone then bring up Jan 6 after their summers of trashing cities and now they're encouraging the same stuff.,0,0,0,0,1,0,0,0,0,0,vaccine
20,"Dr. Aaron Carroll, IU's Chief Health Officer and professor of Pediatrics, will answer all of your questions about COVID vaccines for children under 5 in a live Q&A this Tuesday at 12 p.m. Register and submit your questions now.",0,0,0,0,0,0,0,0,0,1,vaccine
21,'A cure would make people buy it only if they thought they were infected. But a vaccine! That's preventative! People will keep taking that as long as they're afraid it's out there!' World War Z Max Brooks page55,0,0,0,0,0,0,0,0,0,1,vaccine
22,"The Anti-vaxxers desperately clinging on to relevance, after the spectacular failure of the scare campaign - 'the vaccines have 5G nanobots that alter DNA blah blah blah",0,0,0,0,0,0,0,0,0,1,vaccine
23,Be aware that monkeypox is out there. Vaccines are available (sparingly) if you believe that you have been exposed. Stay safe.,0,0,0,0,0,0,0,0,0,1,vaccine
24,"They always accuse you of what they would do to you. The women in this thread think the government is going to track their periods looking for abortions, like how they wanted us monitored for vaccines .....you live in the world you create.",0,0,0,0,0,0,0,0,0,1,vaccine
25,"Which COVID-19 vaccine dose to get when can be confusing, especially since it varies by age and immune status. Use this handy chart from the CDC to keep track for you and your family.",0,0,0,0,0,0,0,0,0,1,vaccine
26,"Happy World Refrigeration Day to everyone working in the industry. This years theme is 'Cooling Matters' and in our area of medical and scientific refrigeration we know how much it matters to our customers, enabling them to provide safe blood & vaccines to people in their care.",0,0,0,0,0,0,0,0,0,1,vaccine
27,Pfizer Vaccin. 'We may not be able to demonstrate sufficient efficacy or safety of our COVID-19 vaccine to obtain permanent regulatory approval in jurisdictions where it has been authorized for emergency use or granted conditional marketing approval.,0,0,0,0,0,0,0,0,0,1,vaccine
28,"Monkeypox vaccine available for at-risk groups in NYC, but demand overwhelming walk-in supply",0,0,0,0,0,0,0,0,0,1,vaccine
29,Says the same guy who demands every citizen be forced to take a vaccine,0,0,0,0,1,0,0,0,0,0,vaccine
30,A thread on vaccine roll out that is a tad more informed than the soundbites of HMG,0,1,0,0,0,0,0,0,0,0,vaccine
31,CDC Stuns with New Vaccine Recommendation. Will You Do It? | Direct Message | Rubin Report,0,0,0,0,0,0,0,0,0,1,vaccine
32,"But the last point, kids with hepatitis, it's likely caused by the coronovirus (or an adenovirus), not from a vaccine.",0,0,0,0,0,0,0,0,0,1,vaccine
33,If you're for vaccines then get one but 'Do not impose your beliefs & religion on all Americans.,0,0,0,0,1,0,0,0,0,0,vaccine
34,1 million dead Americans because of Trump & the GOP. What about their right to life? What about their health benefits? The GOP 'preached' that they shouldn't wear a mask or get a vaccine. They listened to the lies.,0,0,0,0,0,0,1,0,0,0,vaccine
35,But your ok with forcing vaccines on people  which is it??,0,0,0,0,1,0,0,0,0,0,vaccine
36,Court revives block of vaccine mandate for federal workers,0,0,0,0,0,0,0,0,0,1,vaccine
37,Good grief! These people are anxiously lining up for a monkeypox vaccine ??,0,0,0,0,0,0,0,0,0,1,vaccine
38,Kind of like using vaccine passports to buy food assuming you aren't buying enough for curbside pickup because you're epileptic and don't drive..? You're free to relocate to a state more in line with your core ideals to avoid hypocrisy is the best I can offer...,0,0,0,0,0,0,0,0,0,1,vaccine
39,Hmmm. Posted without meaningful comment...what say you? Interesting who the 'at risk' group is?????? NYC slammed for offering monkeypox vaccine two days before Pride,0,0,0,0,0,1,0,0,0,0,vaccine
40,I asked you earlier if you seriously believed the vaccines haven't reduced spread or infection,0,0,0,0,0,0,0,0,0,1,vaccine
41,She was promoting vaccines at a time people's jobs were being threatened with taking the vaccine.,0,0,0,0,1,0,0,0,0,0,vaccine
42,"Corona vaccine saved how many lakh lives in India, big claim in research",0,0,0,0,0,0,0,0,0,1,vaccine
43,BioNTech can provide Covid-19 vaccine targeting Omicron to Hong Kong as early as the third quarter of the year if approved,0,0,0,0,0,0,0,0,0,1,vaccine
44,"Together we mourn 4 lives lost & a total of 14,493 reported as of 6/24. No report 6/25. W/ decline in new COVID-19 infections & hospitalizations, MD does not update on weekends. Recent vaccine info below.",0,0,0,0,0,0,0,0,0,1,vaccine
45,here's hoping that we can get the nasal vaccine that  is discussing,0,0,0,0,0,0,0,0,0,1,vaccine
46,In April  SAGE reviewed the evidence and found that the single-dose vaccine delivers solid protection against HPV that is comparable with the two dose schedule,0,0,0,0,0,0,0,0,0,1,vaccine
47,The COVID-19 vaccines have saved millions of lives.,0,0,0,0,0,0,0,0,0,1,vaccine
48,But then there's lots with long covid who got covid in 2020 before vaccines,0,0,0,0,0,0,0,0,0,1,vaccine
49,They are no where to be found when people being fired from their jobs for not disclosing their private medical information and of course that's the hypocrisy of the left. My body my choice and bodily autonomy when it comes to abortion but when it comes to vaccine it's opposite.,0,0,0,0,1,0,0,0,0,0,vaccine
50,?? This Nigerian state eradicated polio. Here's how they convinced people to get their vaccines.,0,0,0,0,0,0,0,0,0,1,vaccine
51,I am sure he is aware interracial marriages became legal in 1967. Just for the record I am no racist but I will continue to tweet about him. How would he feel if that law was reversed?,0,0,0,0,0,0,0,0,0,1,vaccine
52,"UPS to expand vaccine equity program to Nigeria, Kenya",0,0,0,0,0,0,0,0,0,1,vaccine
53,"Interestingly, this is more or less same argument that antivaxxers often deploy against science-based medicine and vaccines to prevent disease and that quacks use to justify their 'natural' nostrums as compared to conventional medicine.",0,0,0,1,0,0,0,0,0,0,vaccine
54,"1/2 Is this true? If this is true, remember Candidate JB said he would never mandate a vaccine? Then, remember he said OSHA was going to do something for companies larger than 100, but then never did. Then, companies mandated anyway....",0,0,0,0,0,0,0,0,0,1,vaccine
55,"NY Post: Children, who ordinarily love shots, recoil in pain and horror from vaccine mandate forced on them by parents.",0,0,0,0,0,0,0,0,0,1,vaccine
56,$OGEN Oragenics Appoints Seasoned Vaccine Executive Kimberly Murphy as President and Chief Executive Officer,0,0,0,0,0,0,0,0,0,1,vaccine
57,"A reminder to you men who never passed a science class after middle school and think if you make your uneducated opinions loud, they'll become fact...abortions aren't contagious and vaccines were not required UNLESS you CHOSE to stay in a high exposure job with public health risk",0,0,0,0,0,0,0,0,0,1,vaccine
58,For our theoretical 11 to 13 year old (I wish this were uncommon) it depends on where she is. Vaccine mandates do not equal forced birth laws. I'm a heart patient who had no adverse effect from vaccines.,0,0,0,0,0,0,0,0,0,1,vaccine
59,Lack of Informed consent disclosure to vaccine trial subjects of risk of COVID-19 vaccines worsening clinical disease?,0,1,0,0,0,0,0,0,0,0,vaccine
60,Vaccine fatigue means elderly are less likely to get autumn Covid booster,0,0,0,0,0,0,0,0,0,1,vaccine
61,"Not contagious, because 544 million people spontaneously caught it ?? What states were people locked up in for not getting the vaccine?",0,0,0,0,0,0,0,0,0,1,vaccine
62,Beggars even you ASOL injected vaccine from India ?????? ... China didn't send you vaccines?! ?????? Oh Chinese were busy shaving your Uighurs brothers beard ????????,0,0,0,0,0,0,0,0,0,1,vaccine
63,"I know multiple people who had similar experiences. My concern has never been about the safety or efficacy of the vaccine for most people. It's been about the widespread suffocation of any nuanced and honest discussion about the risks, especially from medical practitioners",0,1,0,0,0,1,0,0,0,0,vaccine
64,No it wouldn't have. They didn't have the votes. All it would have taken was someone to sue it go to the Supreme Court and they strike it down like they did covid vaccine requirements,0,0,0,0,0,0,0,0,0,1,vaccine
65,"More Vaccine-Injured Pilots Speak Out as Groups Pressure Airlines, Regulators to End Mandates",0,0,0,0,0,0,0,0,0,1,vaccine
66,"Ya'll all was gonna fucking die without them vaccines ?? thank Trump for what! Treachery brings plagues ol lying ass Italy, Germany, England and France.. rise with who and what more shit that will crush Europe ????? hells no! You wasn't going nowhere i knew they wasn't on list!",0,0,0,0,0,1,0,0,0,0,vaccine
67,Novak Djokovic won't change mind on COVID vaccine to play US Open,0,0,0,0,0,0,0,0,0,1,vaccine
68,BA.4 and BA.5 Have Significantly Escaped Protection From Vaccines and Infections - YouTube ? ?,0,0,0,0,0,0,0,0,0,1,vaccine
69,"Dem politicians are trying to make this about the Left vs the Right-but it's actually a correction of a long ago poorly and politically made decision. And, while the Dems are arguing that women should have control over their own bodies-they're mandating vaccines! What hypocrites!",0,0,0,0,1,0,0,0,0,0,vaccine
70,"Must Read: THE SPIKE PROTEIN, THE AMYLOID CASCADE AND INFLAMMATION: FOLDING SPACE TO RAPID SYSTEMIC AMYLOIDOSIS VIA INFECTION OR VACCINE",0,0,0,0,0,0,0,0,0,1,vaccine
71,"Below is the case chart for Ontario. Eventually, the data became an embarrassment for the govt, who took down the graphs, and in March (quite early) removed almost ALL provincial Covid-19 mandates, including vaccines and masks. My employer removed their vaxx mandate too.",0,0,0,0,0,1,0,0,0,0,vaccine
72,Many of them are the same ones who threw their support for bodily autonomy out the window when the government and its puppet medical institutions (The CDC) coerced vaccines on all of us. 'Your body our choice' they proudly screamed.,0,0,0,0,1,0,0,0,0,0,vaccine
73,AMA statement on COVID-19 vaccines for children under age 5,0,0,0,0,0,0,0,0,0,1,vaccine
74,Experts discuss if and when the next round of shots will be available for everyone and where we're at with the variant-specific vaccines. via,0,0,0,0,0,0,0,0,0,1,vaccine
75,"United States Human Vaccines Market Report 2022: A Market Poised to Grow by $31.51 Bn by 2028 Featuring Sanofi Pasteur, Merck, Pfizer, Seqirus, AstraZeneca, Dynavax Technology, Emergent BioSolutions via",0,0,0,0,0,1,0,0,0,0,vaccine
76,"Masks, vaccine boosters, and social distancing mandates! Such a lovely feeling to be in a group looking out for each other with going fast in mind! SGDQ timeeeeeee!",0,0,0,0,0,0,0,0,0,1,vaccine
77,"COVID vaccines saved 20M lives in 1st year, scientists say via",0,0,0,0,0,0,0,0,0,1,vaccine
78,CDC advisors voted unanimously to endorse Moderna's two-shot vaccine for children 6-17 years old - and the CDC director is expected to approve the recommendation.,0,0,0,0,0,0,0,0,0,1,vaccine
79,". says gay & bi men in Florida need the meningococcal vaccine, to keep them safe in 'worst' outbreak in US history. As of April the number of cases exceeded the 5year average in Florida. They are getting word out to the community about vaccine,",0,0,0,0,0,0,0,0,0,1,vaccine
80,"I recently watched 1986: The Act. I highly recommend it. Vaccines, in recent decades, HAVE BEEN ABOUT CORPORATE PROFIT, NOTHING ELSE.",0,0,0,0,0,1,0,0,0,0,vaccine
